https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608213600,2020-12-17 14:00:00,LINK/EUR,11.28897,11.46628,11.27101,11.39008,11.41935,6090.63368975,69372.80497694766,132
1608210000,2020-12-17 13:00:00,LINK/EUR,11.46646,11.47999,11.21328,11.29788,11.36520,12450.74457818,140667.01815492826,199
1608206400,2020-12-17 12:00:00,LINK/EUR,11.43617,11.48782,11.35844,11.46671,11.42370,13982.22617551,160330.1327089823,155
1608202800,2020-12-17 11:00:00,LINK/EUR,11.50463,11.50463,11.32702,11.43252,11.43636,28133.41670669,321635.84916756756,221
1608199200,2020-12-17 10:00:00,LINK/EUR,10.88075,11.64180,10.88075,11.46297,11.38964,56243.06538456,644712.5712112498,734
1608195600,2020-12-17 09:00:00,LINK/EUR,11.09778,11.15991,10.69190,10.89203,10.87340,40966.82538846,446211.891135868,658
1608192000,2020-12-17 08:00:00,LINK/EUR,11.10000,11.18201,11.03173,11.05737,11.08459,16106.74069382,178098.19134562445,175
1608188400,2020-12-17 07:00:00,LINK/EUR,10.99000,11.14421,10.95827,11.10851,11.08637,15687.82263066,174268.33457091294,162
1608184800,2020-12-17 06:00:00,LINK/EUR,11.05000,11.06415,10.98438,10.99000,11.01458,3813.00211717,41904.8932676983,84
1608181200,2020-12-17 05:00:00,LINK/EUR,10.99927,11.07761,10.99900,11.07761,11.04267,3217.40147006,35641.11869875136,45
1608177600,2020-12-17 04:00:00,LINK/EUR,10.98997,11.00000,10.96957,11.00000,10.98955,1590.56673706,17496.23410766,33
1608174000,2020-12-17 03:00:00,LINK/EUR,11.18327,11.26000,10.91921,10.95032,11.11035,18248.44995556,199826.3665173678,182
1608170400,2020-12-17 02:00:00,LINK/EUR,11.12784,11.18350,11.11796,11.17691,11.13358,3067.14113953,34281.16047382425,37
1608166800,2020-12-17 01:00:00,LINK/EUR,11.12593,11.19706,11.06226,11.09615,11.12322,2221.53725029,24650.51055980538,56
1608163200,2020-12-17 00:00:00,LINK/EUR,11.05897,11.28773,11.05881,11.12003,11.17890,21852.27201865,242997.92041554858,419
1608159600,2020-12-16 23:00:00,LINK/EUR,10.99733,11.05991,10.90000,11.05897,10.97418,16322.44043004,180509.37904259947,167
1608156000,2020-12-16 22:00:00,LINK/EUR,10.94000,11.06456,10.93957,11.00044,10.99627,16448.63053539,180942.17328672553,261
1608152400,2020-12-16 21:00:00,LINK/EUR,10.93155,10.94000,10.81012,10.90189,10.86398,10100.39182471,110113.36062988768,144
1608148800,2020-12-16 20:00:00,LINK/EUR,10.90944,10.93960,10.86021,10.93423,10.88955,6438.09640220,70395.6268238273,62
1608145200,2020-12-16 19:00:00,LINK/EUR,10.80311,10.93999,10.79613,10.91280,10.85287,10334.58599796,112779.2700785379,150
1608141600,2020-12-16 18:00:00,LINK/EUR,10.84998,10.90787,10.75738,10.78229,10.82582,15206.09107118,163956.4836958734,134
1608138000,2020-12-16 17:00:00,LINK/EUR,10.90421,10.97198,10.80000,10.85463,10.88081,17778.38341876,192977.77400877487,203
1608134400,2020-12-16 16:00:00,LINK/EUR,10.83570,11.00000,10.83570,10.91277,10.91926,29779.43926638,324976.17144297366,350
